ì¹´í…Œê³ ë¦¬: ëª¨ë“  ì¹´í…Œê³ ë¦¬,,
,,
,À¥,À¯Æ©ºê
2017-12-31,62,31
2018-01-07,74,35
2018-01-14,78,39
2018-01-21,76,36
2018-01-28,75,37
2018-02-04,85,42
2018-02-11,69,34
2018-02-18,82,41
2018-02-25,67,38
2018-03-04,86,42
2018-03-11,87,43
2018-03-18,80,38
2018-03-25,78,32
2018-04-01,80,34
2018-04-08,62,34
2018-04-15,61,36
2018-04-22,70,34
2018-04-29,59,33
2018-05-06,56,29
2018-05-13,76,35
2018-05-20,65,31
2018-05-27,72,30
2018-06-03,73,36
2018-06-10,62,37
2018-06-17,71,37
2018-06-24,60,32
2018-07-01,66,31
2018-07-08,61,44
2018-07-15,72,36
2018-07-22,75,34
2018-07-29,62,39
2018-08-05,68,36
2018-08-12,63,37
2018-08-19,56,32
2018-08-26,69,32
2018-09-02,85,41
2018-09-09,82,42
2018-09-16,68,40
2018-09-23,64,32
2018-09-30,76,46
2018-10-07,67,49
2018-10-14,76,40
2018-10-21,74,48
2018-10-28,86,50
2018-11-04,72,56
2018-11-11,80,54
2018-11-18,77,53
2018-11-25,100,100
2018-12-02,99,88
2018-12-09,93,84
2018-12-16,89,63
2018-12-23,80,66
2018-12-30,86,65
2019-01-06,85,74
2019-01-13,79,57
2019-01-20,89,56
2019-01-27,83,48
2019-02-03,71,56
2019-02-10,90,45
2019-02-17,79,55
2019-02-24,83,47
2019-03-03,93,54
2019-03-10,85,48
2019-03-17,89,55
2019-03-24,82,46
2019-03-31,89,53
2019-04-07,84,48
2019-04-14,82,58
2019-04-21,76,59
2019-04-28,75,49
2019-05-05,79,46
2019-05-12,69,57
2019-05-19,76,64
2019-05-26,76,64
2019-06-02,66,78
2019-06-09,71,62
2019-06-16,80,61
2019-06-23,77,67
2019-06-30,79,70
2019-07-07,81,90
2019-07-14,86,61
2019-07-21,76,62
2019-07-28,91,69
2019-08-04,78,47
2019-08-11,76,33
2019-08-18,81,55
2019-08-25,86,59
2019-09-01,81,47
2019-09-08,89,57
2019-09-15,82,60
2019-09-22,80,50
2019-09-29,75,57
2019-10-06,78,50
2019-10-13,85,56
2019-10-20,86,66
2019-10-27,81,70
2019-11-03,89,55
2019-11-10,75,49
2019-11-17,82,40
2019-11-24,90,68
2019-12-01,81,59
2019-12-08,79,62
2019-12-15,73,55
2019-12-22,74,64
2019-12-29,74,52
2020-01-05,72,66
2020-01-12,77,52
2020-01-19,84,57
2020-01-26,75,54
2020-02-02,82,65
2020-02-09,62,41
2020-02-16,46,34
2020-02-23,50,26
2020-03-01,54,35
2020-03-08,50,36
2020-03-15,67,61
2020-03-22,73,36
2020-03-29,90,75
2020-04-05,97,63
2020-04-12,90,48
2020-04-19,85,72
2020-04-26,92,45
